,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 liver,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
PAH,inf,inf,inf,0,0,0,inf,0,0,inf,inf,0,inf,0,0,inf,inf,0,0,0
PCBD1,1.9716758544894242,1.433908273378413,2.97392853086238,4.0601331588143434,2.70681692179392,0.924846167513957,2.2359637630051368,-1.5375763805329623,-0.41368692329682866,2.6710102412784456,,-1.207201278323506,0.07158536315298954,inf,-1.398748443655554,-0.1662542763148459,-1.124339064551481,-0.22358325511506266,-2.5817821300953234,-2.6817157336007384
PCBD2,1.3309399540281632,inf,0.10663385066935376,-0.7978478363132273,-0.4824086356073331,-0.2969100873664286,-3.589313067049732,-1.0294294768626404,inf,inf,inf,-1.3364842952684741,-0.46242194496970584,inf,-1.0402944727430778,-1.1454957161480512,-3.1947283924428818,-2.8085457558362235,-0.40424394454314694,-2.94475013943454
PTS,-0.6327604636317344,inf,inf,inf,inf,0.8481721037414619,-1.1969956442709704,-1.7949642232256195,-2.264449506526841,inf,,-0.5170565409102956,-0.011736226036017122,inf,-1.0402944727430778,-1.2524109200645615,-3.1947283924428818,-0.8085457558362248,-0.9517317398456357,0.05524986056546019
QDPR,0.3610864217240071,1.1887957755418768,-0.07444469258807623,-0.03231308995025254,-0.4564134270743794,1.6259609948941371,1.4310355783420723,1.1962833027654145,0.1286841510917346,2.7168139308915666,,-0.968752510767988,0.41393149483141856,inf,-1.3622225676304405,-1.4934190195683563,-1.6097658917217221,-2.8085457558362235,-1.1927398393494304,-0.6228220445471708
SHMT1,-0.770524468766031,1.514828268761972,0.2037853963636956,-0.6279228348709117,-4.134485332187022,0.4282791918950707,2.589600717619837,0.35389916268886606,inf,6.147448285221436,,0.12484685628431029,0.20835734124006736,inf,-0.04029447274307642,-0.045960042597134765,0.12719970244448084,0.36137924560608436,-3.067208957265574,-2.94475013943454
SHMT2,0.6091924241485076,0.03438377347088824,0.36253207522152303,-1.3828103370343823,-1.5495228314658693,-0.4460271591071702,1.009455233196458,-0.8070370555261916,-0.320577518905348,3.3490821463910825,inf,-0.8625531069360607,0.25985162410506185,2.053806443695793,-0.7416361571785637,-0.9084565188472027,-1.761768985166775,-1.086079731365134,-0.16031836165705157,-0.5117907321584299
SORD,-0.09643781361954627,0.8933398920157083,2.02538634283118,1.7871146644079308,2.1874427627003383,1.5262440088541027,5.5578918578925,-0.7075013819752778,1.7450108227222296,inf,,0.7224093937850901,0.9180962321522663,inf,2.3102027743410614,0.43946678457311134,0.3902341082782739,1.776416744884936,1.1027160441767463,0.6402123612866243
SPR,3.3717615741575777,4.556304904738136,-0.24540657634811278,1.661583782324067,1.324946286450276,-0.9956105751831307,0.8030043557290281,inf,-0.42491417872008364,2.501085239836131,,-1.7694437025445808,-0.3311487200038035,inf,-1.0402944727430765,0.047149361794348164,-0.19472839244287882,0.1914542441637766,-1.330243363099366,inf
TAT,-2.817521948214602,9.478302392736863,0,inf,0,0,inf,0,0,inf,,inf,-4.150569067623294,inf,inf,inf,4.034090298052999,inf,inf,-0.359787638713379
TH,0,0,0,0,0,0,0,0,0,0,inf,0,0,0,0,inf,0,inf,0,0
TPH1,-1.8175219482145986,inf,-1.1994692770563287,inf,inf,-1.409459281697988,inf,1.292498618024719,inf,inf,inf,2.7224093937850955,inf,0,inf,inf,0,0,inf,inf
TPH2,0,0,0,0,0,0,0,0,0,inf,,0,0,0,0,0,0,0,0,0
TYMS,-0.44872995950334255,inf,0.20542490740843966,inf,inf,4.483119939947936,2.8030043557290294,3.601826676132448,inf,inf,,-1.8011525622719158,1.9695475100026387,inf,0.030094855148320644,-1.3678881374844971,inf,inf,0.25471913762179144,3.888139874730204
UAP1L1,-3.29969410181789,-2.8526144853777553,0.02680860306126073,-1.6723169542293712,-0.7865620287667138,-1.0013404523410758,-3.0382978982519098,2.4500398950111957,-3.877426383417593,3.555533023858507,inf,-5.299958419243366,0.9719663274953518,1.053806443695791,-0.2412071666690674,-1.2974988095930964,-2.346731485887924,-0.9605488492812668,-1.3016742109025905,-2.6817157336007384
ADSS,-0.1864072180768407,-1.6509806242081035,1.364530861347516,1.317629381106707,-4.30441033362934,0.24967689400255294,-2.869420986242465,-0.320478258866034,inf,inf,,-1.2124955779930222,-0.33169176945751905,-0.2681216511915766,-1.5142256610754923,-0.7263421083969737,-2.9316939866090888,-1.8674394448897957,-1.4256629281780455,-0.9161809872377678
ADSSL1,-0.13070340476654904,3.670947470679261,0.938034246693611,-0.7978478363132259,5.205364670697599,-2.1387372683738617,2.9322873726739944,-0.3513575717499983,1.8883316730674808,5.0271540515037225,,-2.658412390155834,inf,0,inf,inf,inf,inf,inf,inf
ALPI,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,inf,0,0,0,0
ALPL,-0.4122622155004593,1.1771328580162956,-1.7407839933454683,-7.305642476511927,-3.6422799723857184,-1.0281780603617572,-3.1229950628271888,1.9839495529385596,-2.048471924753818,1.3400933631638279,,-5.930435579216883,-1.0668647037422978,inf,-5.5427948132722555,-5.1334228838474685,-3.6972287329720612,-4.311046096365402,-3.025388781570941,-2.862287979242561
ALPP,1.9905475927837484,inf,inf,0,0,inf,inf,0.2924986180247191,inf,inf,,inf,inf,0,inf,0,0,0,0,0
ALPPL2,0,0,0,0,0,0,0,inf,inf,inf,,inf,0,0,0,0,0,0,0,0
AMPD1,0,0,inf,0,0,inf,0,0,0,0,,0,inf,0,0,0,0,0,0,0
ATIC,-0.28902936354390396,-3.0608564183711695,0.5352396229974928,0.07662128160291391,-1.3044103336293336,-0.2683801040693537,-2.482397863133221,1.7581621903735272,-1.3094369613001493,2.8636553192208383,,-0.6699080289936657,-0.2716100667619399,inf,-2.040294472743073,-0.36788813748449756,-1.972335971106435,-3.393508256557382,-0.7777023400705836,-0.28178512671210826
ENPP1,-0.5339098030494989,2.992875565566623,-2.676087406510299,-1.212885335592074,-2.1344853321870207,0.2608320611893269,3.1655744351137383,inf,inf,0,inf,inf,-0.0977299384814755,inf,0.3926649345330292,-1.045960042597135,-0.6097658917217309,1.9463417463272406,0.25471913762179144,inf
ENTPD5,-0.5715730665481306,-1.2221373254042347,0.05290608479109326,-1.6909326323967184,-2.8349250503281187,1.8150467701249013,2.8618980447826003,-1.4730361283382607,-1.6794870058056806,3.5835474000281033,inf,-2.686981542352607,-0.5743865734792896,inf,-1.651729184825417,-0.8731234457349167,-1.0691975103590212,-1.3610867788650043,-3.2047124810155045,-0.1187795392095822
ENTPD6,-0.8501476818183996,-3.681568944041527,1.3866176937458319,-0.26733311961444917,1.67286958987058,-0.6547689633031429,-2.4700141386773837,1.711451167306944,0.8013932926197471,1.147448285221431,,-2.538118156438123,2.2584800637304236,1.2058095371408424,-0.2747597263800996,0.5707113178513559,-3.1947283924428818,-0.001190833778620149,1.669756636900636,-0.944750139434538
GCH1,3.110778561236623,0.018870774099567188,-2.146607462670698,-4.7047384319217445,inf,-1.3003156438314711,-2.821486509178764,-0.23106333803228737,inf,inf,,-2.5381181564381228,0.3148574202888155,inf,-2.3622225676304383,-3.3678881374844973,-2.194728392442887,-2.8085457558362235,-3.067208957265574,-1.9447501394345363
GCHFR,0.11718386757364373,inf,0.7406300173177138,inf,inf,1.4929881473530457,0.8030043557290322,inf,inf,inf,,inf,-1.9923423350801333,inf,-1.777260066909284,-1.952850638205652,inf,inf,inf,inf
GMPR,-0.9568216763578249,1.4783023927368595,-0.2424403862311301,-0.060882242147022356,2.9529775090633175,1.3521557343808952,inf,-0.19292820914552458,3.5359152239992375,inf,,-0.5995187011022681,2.2297398475319135,inf,0.2227399330907223,-0.7829256367633366,0.3902341082782739,-0.22358325511506247,2.325108465513194,4.727675202536963
GMPR2,0.9349171867487446,0.3908395514865216,0.9460443724687765,0.7871146644079284,-0.4564134270743794,-0.21378127954437898,-2.4193880656074147,-1.1814325703076898,-0.28741065497015084,inf,inf,0.2801870651800188,0.08408868464445694,inf,-0.3849426441305221,-0.782925636763339,-4.609765891721724,-1.0536582536727583,-0.8192814438219828,-0.7748251379922264
GMPS,0.4099446522385363,0.018870774099564027,0.004500865104950423,-1.0541875895730135,-2.6538594912806,-0.7218754084215665,-1.419388065607417,2.502345786042056,-0.9405286327505045,inf,,-0.20650750815342142,0.2660147942531376,inf,-0.9965730953137594,-0.7107758510075063,-3.3102056098628183,-2.187057379089953,-0.5977236739643518,-0.3232617626882677
GPHN,-0.8749509906719041,-0.28723235362611615,0.42219549499794823,0.2801546756880419,-1.30441033362934,0.046349589281428176,0.49814977420060547,0.17050809364610936,-0.2856393901179558,inf,,-0.48704397184385384,0.7921363341835177,inf,-0.19229756618812402,-0.58361682853993,-0.6097658917217196,-1.8085457558362201,0.7401459647920385,-1.9447501394345321
GUK1,0.41080743439866907,0.25413434651055367,0.8544881560731674,0.5904227534028296,0.49229734422876076,-1.128265984655357,-1.776721496625981,0.7705459148293555,-0.22104184535444088,2.863655319220838,inf,-0.9474420045225813,1.5586061696632616,-0.8530841519127271,0.2227399330907152,0.06507126979160698,-0.39564108636888085,-0.11255194272632654,0.4886071977960677,0.6402123612866223
IBSP,inf,inf,0,0,0,0,0,0,0,0,,0,inf,0,0,0,0,0,inf,inf
IMPDH1,-0.9333293655578041,-0.35964084915416755,1.641756413798378,-1.6909326323967184,-0.5129969554407536,-0.9060375697609325,-2.4865022614659535,-0.6294988699740064,-3.346911666718813,inf,inf,-1.2458817464875647,1.3282631464486723,-0.909667680279093,-0.47769978505037103,-0.42447166585086243,-1.1402806084205024,-1.6020948783688005,0.5899033292114216,1.5544824872607423
IMPDH2,-1.204792460360697,-3.7360167280639054,-0.24144172947279885,-0.0506139066931945,-1.9876439438577516,-0.3664297044396278,-0.901539760744797,-0.822978599395216,-1.3944120903227406,inf,,-0.3201363011809916,-0.26053663582139486,0.24645152163818954,0.2633819175880625,0.2907314049619672,-4.154086407945531,-1.76790377133888,-0.552635784435812,0.18335468631315216
ITPA,-0.02433601051618387,-0.8436257021504997,2.0792980550420643,0.7871146644079268,-0.5495228314658683,4.929799089010665,3.6103592777866313,4.498949495492143,-0.2924638826964318,inf,,0.40048129889773126,0.1250124130658393,0.20580953714084044,0.44513235442716437,-0.42928868214864413,-3.1947283924428818,-1.2235832551150692,-0.652171457986728,-2.94475013943454
MOCS1,-0.81626462717342,-2.498977530763055,0.8606939770913353,-0.3828103370343803,0.7399837857291166,-2.5088906950014223,-2.888157548824052,1.8664900009248697,0.04934485759485243,1.211578622641146,inf,-2.251595397681965,3.3200262143599484,inf,1.92317965123181,1.3325515806565968,-1.1947283924428858,0.9988091662213814,2.9916847317879993,inf
MOCS2,0.8456704105463255,0.9153661983457043,-0.24312799923419368,0.050149070241721265,-2.1344853321870283,-1.0549440955774527,-0.7495366672997498,-2.1993544783049512,-1.346911666718808,inf,,0.4935907032892173,-0.6894711909208987,-1.5311560570253657,-0.6729234070945466,-0.7829256367633409,-4.931693986609088,-2.9605488492812757,-1.031585047534851,-2.359787638713377
NME7,-0.00027138137844794546,-1.8070998261253872,0.340827895537672,0.20215216368676825,-2.9418402542446254,-0.3954023039639233,inf,-1.2100017225044644,1.138674671208505,inf,,-0.8796266202950039,-0.2707090178346119,0.4688439429746405,-0.9292631603543251,-1.1048537316507034,-1.124339064551481,-3.545511350002425,-1.2192120507106174,-1.6817157336007396
NUDT16,-0.29359852732223995,-1.018123433382636,-1.2711883935757184,-1.1544129328726163,-2.560092073176056,-1.4135020024366847,-2.196995644270972,-0.2574169355972371,-0.625464454747824,inf,inf,-1.639485108419912,-0.12155475185499298,inf,-1.015419804104047,-0.9489355882022696,-3.5483653470575818,-2.939790289114476,-2.131339294685283,-2.883349594770395
SUOX,-0.8566025711507,-0.6509806242081035,0.0878482845101162,-0.6052027583708312,0.2280847471976881,1.35163977710585,0.5806119343925873,3.2027019476740666,-2.034967660404076,inf,,-1.2875746947875306,0.45120824873855153,inf,-2.192297566188133,-1.6674484193434096,inf,-1.6386207543939177,-2.0672089572655747,inf
THY1,-2.2678017660803906,inf,2.4219960900161683,3.398549376490275,inf,2.4337143027228736,3.7572006661159034,0.7779254451949605,inf,inf,,2.8599129175350226,0.49841831517696217,-1.0165828841956055,0.22273993309071846,1.8746054899084605,-2.095192718891965,-0.709010082285307,-1.067208957265566,-4.167142560770986
TPMT,1.1110414336862602,inf,0.4694272401761521,0.20215216368677077,-1.8714509263532302,-0.4328207184162114,-0.9625303906339442,-1.8229785993952121,0.3824407433375237,inf,,-0.5995187011022654,0.34978810763050683,inf,-2.5846149889668912,-0.4748033414010098,-3.4171208137793343,-1.445975676451522,-0.3510019232661626,-2.167142560770989
TYR,0,0,0,0,0,0,0,0,0,0,,0,0,0,inf,0,0,0,0,0
