,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
AKR1B1,-0.12265538300416652,-0.23380339944701473,0.8070201891341215,0.6054536724955583,1.0001280399463899,1.1139047949109866
ALDH4A1,1.7404677310396428,0.3517063776657611,1.8163302843717601,1.742324616851777,1.3798954299374027,1.6758402468431293
CBR1,-0.8768794101735641,1.2072587905754648,1.3863652591183724,0.8562621313171188,1.4266229606945868,1.3918843878176075
COMT,-0.1928671569893724,0.052840149972459546,1.1550423619538928,0.7929162186917594,2.34715182437429,1.0278070188195205
DBH,,,,,,
DDC,-0.10933662620385068,1.1330508387832652,0.9174329103509947,1.0837431774304598,1.388899769066182,1.2873972788829564
DHFR,0.32295707151685105,0.3384587271237286,0.9276299807039325,0.8270109066671378,1.5970927870213563,1.1334069340118427
DYRK1B,1.6087677795545536,1.6142386942637792,-0.23070499185930454,-0.9057153553505558,-1.623879582643561,-0.4147030235057945
FAH,1.3444745355948395,1.6417377489345693,1.142808543607479,0.8459841766701062,-0.5672422180531776,0.8754495231261273
FPGS,1.8832078559415992,1.6089985105664801,0.4649897703419247,0.2587466912506006,-0.2629551671855536,0.5299936411473548
GART,1.2959325773482357,0.8137970785829952,1.0323850363293952,0.956780432445711,1.0069875303755451,1.4691001919852131
GGH,0.13566708486375034,0.7907757110875463,1.203866661682581,0.2950463456509019,2.209967490020051,0.8699383764128936
GLUD1,-0.49100468476861947,0.8151314973761673,0.9380759013445339,0.6644193186615973,1.3533705117548103,0.6296231195871576
GLUD2,inf,inf,inf,inf,0,inf
GOT1,0.40954598321287905,0.902115309018564,1.6619864857406892,1.002617214469757,1.7597604684602388,1.3933954146339993
GPT,-1.8812292943852085,0.17585886778523113,-0.8307907824442742,0.3310420288128004,-1.0204191706915127,-1.2378747700246224
GPT2,-0.7732528586250149,0.6353088001969667,-0.39336250660525873,-0.20145244950862168,0.37727005805645797,0.654817338546402
GSTZ1,0.9626546740703299,1.647824269617791,0.3940785222642505,-0.4026748126033007,0.528950778219268,-0.4503552539834232
HGD,0.22786455192545424,0.8280849238131422,1.7491373763934732,0.5381136386322606,2.3325017578568334,1.7299717997837176
HNF1A,2.874904482897052,2.7631011486459376,0.4286315017126439,-0.09251054884844874,-4.017124764880886,-0.5176868327920672
HPD,,,,,,
