,fold-change control mujer case1 lung,fold-change control mujer case1 heart,fold-change control hombre case2 lung,fold-change control hombre case2 jejunum,fold-change control hombre case2 heart,fold-change control hombre case3 lung,fold-change control hombre case3 heart,fold-change control mujer case4 lung,fold-change control mujer case4 heart,fold-change control mujer case4 liver,fold-change control mujer case4 kidney,fold-change control mujer case4 bowel,fold-change control hombre case5 lung,fold-change control hombre case5 fat,fold-change control hombre case5 skin,fold-change control hombre case5 bowel,fold-change control hombre case5 liver,fold-change control hombre case5 kidney,fold-change control hombre case5 heart,fold-change control hombre case5 marrow,fold-change control hombre case6 lung,fold-change control mujer case7 lung,fold-change control hombre case8 lung,fold-change control hombre case8 liver,fold-change control hombre case8 bowel,fold-change control hombre case8 heart,fold-change control mujer case9 lung,fold-change control mujer case10 lung,fold-change control mujer case10 liver,fold-change control hombre case11 lung,fold-change control hombre case11 kidney,fold-change control hombre case11 bowel,fold-change control mujer case12 liver,fold-change control hombre caseA lung,fold-change control hombre caseB lung,fold-change control hombre caseC lung,fold-change control hombre caseF lung,fold-change control hombre caseE lung,fold-change control hombre caseG lung,fold-change control hombre caseH lung,fold-change control hombre caseI lung,fold-change control mujer caseD lung,fold-change control mujer caseJ lung,fold-change control mujer caseP1 placenta,fold-change control mujer caseP2 placenta,fold-change control hombre caseP3 placenta,fold-change control hombre caseP4 placenta
AKR1B1,-1.3211898075976038,0.5279204667365832,0.1100602775873308,-2.981955810430944,-0.05555890047094313,-0.3224135826864121,-0.17161702993451491,2.5252381434730418,1.3163747319302288,inf,,-0.25659625790352103,-0.5343802032337094,inf,-1.81554924906506,-1.5436808433902074,-4.1074866925148035,-0.1363415551869865,-0.04136780200163177,-2.5355803446190874,2.84451475877964,0.06644398185927189,-0.5291101495448115,-2.9334572927397518,-0.5355803446190937,-0.9646299342706569,-0.5972002078330924,0.06185114525606807,3.833360438835376,-1.3061033171923917,0.9550547735539154,-1.4428647426159904,inf,-2.7565795306556717,0.4827315336578474,-0.6367397606496664,-1.4652847438702212,-0.7355179151278446,-0.24063075870853434,-0.10411984141640267,-2.6630054153434735,inf,0.674750750620898,1.2330118803081873,1.3219035890540605,1.8303539127521187,-0.2911616169526432
ALDH4A1,-2.5055021186575073,2.2930922598192898,0.4260672988793751,-1.081500972075631,0.16682403277172764,0.7374372512581371,-1.0366969379421829,6.5004820862563255,1.30307634839191,8.151073254946853,inf,-0.11945568743385616,-0.20689609336863085,inf,-1.4676354337385296,-1.643226005034898,-0.3001412585509664,-0.4989211226654705,-1.7575843240948181,-1.6351255062637844,4.328470924106049,1.8087517917483944,-3.827973651986217,6.121815654667661,inf,0.08782799752969908,-1.3472090823544738,inf,inf,-1.3773822847708175,3.4404721126303826,-0.09495092728946378,inf,3.1662431207280877,1.0612582771257946,inf,-3.943341528768643,-0.8350630767725353,0.17439725247653526,-1.582176626314821,1.5593775178992044,inf,-0.10064583765910146,1.9903374249592096,1.632795032158451,1.4037132204501628,-3.3355652244048746
CBR1,0.5119809564061355,-0.9288901233842901,0.9832696186330059,-0.34788426811182355,-0.2974986408763689,1.1439249361414054,-2.4185574513983106,0.6380420897398897,0.18189460597582469,inf,,0.359001647503654,0.5294450031725326,inf,0.06804189261337343,-0.0554601675345417,-2.266964272728249,-2.4657441368427535,-0.5020149169356473,-0.7945935983834579,5.426361441051994,-0.007759603867714504,-0.018472860357630322,2.322102626325638,0.8130889788377809,-1.2940325159264257,0.3352092187263604,1.8448585643929472,4.47341138796709,0.5627358417236857,2.5891263158730315,-1.32480834730054,5.251018966630644,-0.5010196115902887,1.849322765111982,-2.3811798415842786,-1.1028096208883176,-0.21692359022866434,1.4299666596357004,0.2583552815654977,0.17751700444307575,inf,-0.3226282208626777,-0.7595350166317594,-1.031976457141355,0.23363174216302307,-0.44440724345458676
COMT,0.7280545277571552,0.4049457832083133,0.7180040750987431,0.27153507780547653,-1.335191581436061,0.8832310941976033,-0.7558106738169085,1.039693380560063,0.9170241053290045,2.803495159698582,inf,-0.5128374722952561,0.1373855657907121,inf,-0.47215138847550253,-0.34396121159476994,-0.3046572132879458,-1.044005458765147,-0.9895107749348642,-0.6396414610007591,4.313939345456189,-0.3429879962724605,-0.1973429325729348,0.8693721864871018,-0.13714112047157354,-1.33172545648612,0.355018255741829,1.1173875356286063,3.3478156759223974,0.252836467344142,0.850993657172248,-0.3625012878602324,4.125423254585952,-0.9537500514288227,1.2266673238311354,-0.33140994089363035,-1.1149674693408758,1.0184019636180637,1.0111835517205008,0.7352355138355688,-0.6377835147801705,-2.896944558442505,0.7217010685349431,1.295403681242235,0.5597268682903758,1.8166503660713376,0.25983166304527966
DBH,2.2792573121127417,inf,inf,inf,inf,-0.930965168689627,inf,2.292498618024719,inf,inf,,inf,-2.5656065669021375,inf,inf,inf,0.9751966089994355,1.3613792456060936,inf,inf,3.543794387805913,1.7883671919166084,inf,3.1492260087744826,1.640212361286624,inf,0.9199045421655145,1.2181512765646363,8.992938336165809,0.7321465249538974,inf,inf,inf,inf,inf,inf,-1.0830411604970815,inf,inf,inf,inf,inf,2.419291148672489,1.7029194892332,inf,0.36853903717895925,-0.47526485613331304
DDC,0,inf,0,0,0,inf,0,0,0,0,,inf,0,0,0,0,0,0,0,0,inf,inf,0,inf,0,0,0,inf,0,0,inf,0,0,inf,inf,0,0,0,0,0,inf,0,inf,0,0,0,0
DHFR,-0.08975284441161335,inf,-0.6519116034057888,-0.27696317014673444,-3.198563166741689,0.06445277293973375,-1.6471966352921346,0.342529536674615,inf,inf,,0.22811979621117875,-0.3898113199484138,-0.26499052848066634,-1.8330226332519475,-3.838688203106004,-3.6655284580643883,-3.2793458214577305,inf,0.8323773083875406,4.894366778691893,1.0001660757129212,-1.883053006868262,inf,-3.0005127057772003,inf,-1.011508826822001,0.8604277061018198,4.650651832036946,-1.553605850142415,2.534516531754259,0.3470167952547239,inf,-1.3146212962052621,-1.1342039209453116,inf,-1.3314488047821411,-2.6154877755647976,-0.3836350249792804,-1.7776388243859251,-0.22104718089305803,0.21324651972964992,-0.016104759847857912,0.6849012184462084,-0.1916856867840478,0.8064709139901347,-1.6565583045598393
DYRK1B,0.6579106414193966,-0.6074142698224962,2.0358495546304276,1.6328798577644024,1.4661673633329153,2.1492697258476716,3.1371155105351467,-0.1279448979486555,0.7244979136374877,inf,,-0.6980341221882823,2.575276679488411,inf,0.9837109902677125,0.2410798262474492,inf,0.8004222078957212,-1.0432034942547832,-0.9207446764237495,5.716709636125034,1.3000786161710156,0.6701303913573212,inf,-0.5057071771449031,1.8022088273697352,-0.4605175257252291,1.5363972858136998,5.3094604143586395,1.3755415343622865,inf,1.8418223238870188,inf,1.180184232427035,4.29920106302284,1.6219520973204002,-0.9070326040412459,2.4642802537886532,0.8887780823165702,2.4541322984125764,0.2737583477392357,inf,-0.41618986657972806,-0.5948584783507118,0.48962221282580837,1.9131852198906731,-1.6211843945648396
FAH,0.3651580924891419,-1.1879991546598077,-0.04133331445875745,-1.506908427294702,-1.9955490166135497,-1.6485780469806943,-3.462104393161254,-0.5386047813436508,inf,2.669981840467757,,-0.6005471019129535,-0.1866783873189235,inf,-1.9925785625085106,-1.9982441323625695,-1.0474768086574011,-1.438901750714295,-2.76795428003504,-2.0605329614828456,4.762658590782633,0.9187082934818355,-1.384651368490774,2.5859842097549453,-2.382461056370212,-0.6595075525767314,-0.08050629789392914,-0.01683000261011994,4.991909935355126,-2.0539549036009324,-0.3068634374760481,-2.105320883229688,inf,-1.6965696467982783,-0.8787223509230319,-2.5767298767922724,-2.231245460237781,-0.5823986268789623,-0.835972703463684,-0.7445496757000943,-2.187958032207232,-2.0304578776733306,-0.4118122506958821,-1.5518054528319494,-1.1147422228035773,-2.0802695886400513,-2.9129757730689922
FPGS,-1.50969578985089,-3.3384487777846523,-0.8634259585979288,-4.711547427336234,-1.72625682832267,0.21735768692885887,-0.7598527975942659,3.029763842987447,0.6330611629733331,1.5195322173429109,inf,-1.2915651064005054,-0.23049245951224115,-1.1146122849490043,-1.2903269669415283,-0.41529146516792526,-3.5151502145327322,-1.54400507720491,-0.7246657666329849,-0.17770912027404331,4.499150136567888,-1.0809677517033567,0.0790862469460272,1.1183108038796177,-1.2651719615243793,-2.5422184577309017,-1.0353773295921025,-1.7067586500632514,2.256497811509124,0.05002546227827609,0.5473912515359828,0.4973950387863806,inf,-2.1642430526736005,1.2891928169927689,-1.237048360609995,-0.8454675294660463,1.1787466577415904,0.2073158099383616,0.9972302840535274,-2.0706689373614022,-3.1809075007981766,-0.7321868752630432,-0.8596979093699759,-1.8386221139414196,-1.1307188402605992,-2.5061800610281773
GART,0.010064045094074235,-0.6953930250946395,1.051774882287351,-0.28916471853901593,-1.5644016697486725,0.7353575601031146,-0.8137263300757068,-1.2159236532208013,-0.35213586804064667,inf,,-0.9380159709054744,0.9345450769827586,inf,0.04906637718466195,-0.18462714867527852,-3.616329461792528,-0.5297071070447764,0.13568083829258173,0.5878451016026974,5.290843972236446,-0.08417261273948462,0.9396369493261634,-0.8573375612963201,0.8560412125522683,-0.1839660863533978,-0.49361120119529056,-0.33405268670879606,2.7069084862567387,1.021929116154821,0.44621200427618635,0.7983142350979334,3.484516064920293,-2.2654222999333964,2.002457916576896,0.7613080656811239,-0.587104390038701,0.24106614276467303,0.6130965513984503,1.0441496757828679,-0.8499200897338335,-2.5378517481081593,-0.6968136997942674,-0.6976120590641975,-0.123558828218765,1.0330531256179074,-0.2594360048676659
GGH,2.1550245944124873,inf,1.2197063407742608,-2.141361812413086,-2.4779993082868836,1.7258006631540665,-0.2892028562220314,-0.02942947686264565,inf,inf,,-0.921446795989637,0.647160708926137,inf,-0.5274962740759815,-0.5331618439300376,0.8623903224480245,0.4412180369970787,-0.4024076651534229,1.3050136533987637,4.924801537887747,2.4086787934544516,-0.092884425124311,4.135955395773987,-1.27994884732239,inf,1.701452582811106,2.0499502061785546,inf,-2.1221576015159305,inf,0.26022573165192814,8.671010241278449,1.405942562249542,0.0013974367883423627,-0.4742176677444479,0.24472514433749074,0.690038583611169,0.11453641213908342,1.1653174554053307,-0.5004833224382513,inf,3.419291148672487,3.5274801748178235,3.285830173661831,3.112698120904387,-0.81046356402117
GLUD1,-0.36240676349653694,-0.06387566548638446,0.3238867106274279,-0.37402464599123575,-1.803771546256511,-0.14473594679959143,-1.062434071162884,-2.3006133276119494,inf,0.2705433735841685,,-0.6962048206194402,-0.0906266892137318,-0.19212700288284676,-0.576937283598359,-0.5870215247194221,-1.422739931024262,-2.3320131779437734,-0.9208249810654502,-3.1202942581217763,2.300899898631208,-0.06786049024485441,0.4516388928950657,2.422666721289415,0.04197717077709812,-0.5608394866111764,0.11557498272930426,-0.34405558668581915,1.0075089677503815,0.034294777555144706,0.3703408600512272,0.09365208853155124,inf,-0.8267202713286058,1.3980912232898037,0.17576254803924235,-1.7440121063545682,-0.7352693279093754,0.9407672676145077,0.9581897139343194,-1.7331461560164,-2.84493384383576,0.1685714004828979,-0.10914099198487848,0.13466710470944204,1.2013466541826865,-0.12824301123726953
GLUD2,-1.073705808600167,inf,2.356282227198112,inf,inf,1.6273408019041389,1.865633681749294,inf,inf,inf,,inf,1.1583160739338016,inf,inf,1.2591046146565812,0.6952987655319911,inf,inf,0.9452770185403327,2.7471856010249827,1.9802068567037485,1.2465379430879457,3.869328165307036,inf,1.668230522333816,-0.7691515425106725,inf,6.9014031994028615,1.2398367894790674,3.4359121367133416,0.9004890967934956,inf,inf,4.449015723987515,1.1660456973971152,-1.362939003964526,1.745339448031582,1.1698372765595009,inf,3.1397800427033156,inf,0.5907904177433336,1.196346853191404,1.569609964312806,1.673603694432672,0.24483730039924265
GOT1,0.25987894430113606,2.4931843958036217,0.05678585202653557,0.6114845622241276,2.8108999665905405,-0.35610669301667647,2.1545394638853996,0.7800086897350692,3.9823105289563623,4.936127891652343,inf,-1.1120086293919202,0.8243595231525213,inf,-0.594077653796948,-1.1022435641801869,0.18639339828136095,inf,2.188381951374814,-0.4567131447937791,4.906548944581452,1.3811067228962555,0.3817715199118259,5.303839269690042,0.6104010510647535,3.9666800771407944,-0.01082562936541493,1.9266235938269916,inf,0.10733789315175694,1.8115295520427785,0.9390715248453595,7.258055986539713,-0.16313915800061002,0.7542438114255531,-0.7213712931072385,-1.2503559944688825,-1.4640056373601391,1.0479550324181113,-0.6261566861812696,-1.0695650426884056,1.4580805948477127,0.42137439321259373,-0.23565397605562105,-0.571738617939258,-0.22427454523767554,-0.9645077849924784
GPT,-1.0411366019129933,1.6861273258278753,3.478364579208171,inf,3.665745155437202,3.0262525891997565,5.047186685444446,6.879842215367835,3.018039509287859,8.866036415842808,,inf,1.7202968224941542,inf,inf,inf,3.1987798641145027,inf,5.06326489345802,inf,10.037518509454024,2.1773573794908954,inf,7.957771764610706,inf,5.756674121637486,inf,inf,inf,2.8867220132511973,7.939393235295852,3.403970195376008,8.866036415842808,inf,inf,inf,inf,inf,inf,4.50170699707181,inf,inf,inf,inf,inf,inf,inf
GPT2,1.0614366172372947,2.9565141390521315,-0.7622850074538124,-0.4297594006978854,1.134067429877403,0.19223694633580532,-0.5914062440318675,-0.06651682960321069,1.1389025131295254,6.727032292929359,inf,0.626428351990955,0.023136715071876174,inf,1.6922530413095451,-0.2545188394909465,-1.555290282781744,-0.7540701468962437,-1.275767754159385,-1.3053120297734013,5.015869969064936,1.7716051588831654,0.9109541090792065,3.7342163344132384,0.43165356439280506,-0.582358525979918,-0.343674445641821,2.060517148393232,5.463997887095569,-1.023112939078335,0.92228868256581,1.3128650612021902,7.048960387816726,1.4585818917998108,-0.8719626522176164,-1.6695058516377725,-1.4436030508359448,0.3692195176339906,-0.2062826538380921,-1.5153975556582335,0.7636601123057256,inf,1.723240713766989,0.6844478146599733,0.9902748519750293,0.9431048239162617,-4.590714248635648
GSTZ1,0.023686958259889496,0.8615215571137198,1.9515957444799708,0.7327991467199038,0.3961616508461079,2.7196300496392127,-0.22239681914665266,6.055236446653678,0.871505645686339,inf,inf,1.0339361105817266,1.5907038442363126,inf,-0.23829781566414845,-0.8289258862393635,-0.07080364047659139,0.3153789961300668,1.0567157947007164,0.17917461253175027,10.288855709998707,4.136490827884472,0.9503693647824275,5.562657377935753,0.5942121118105967,inf,0.5821587145245318,3.2933581284929323,8.363358742016015,0.9410102103727929,5.477164652762363,0.13438669078491325,9.041430647128651,1.2801035213825296,3.682913317978933,0.3999432913885326,-0.12904140997310604,2.5641995427441557,3.2110897926085165,1.2321234924807156,inf,inf,inf,0.8740773485855043,2.087293812152633,3.3109436492243254,1.6486598958329728
HGD,-5.092397768195602,5.110317168364381,0,0,0,inf,0,inf,inf,7.061407567883427,,inf,inf,0,0,inf,inf,inf,0,inf,inf,1.7538905036661248,inf,inf,inf,0,inf,-0.8951137954496852,5.798373162049641,0,inf,inf,inf,0,inf,0,inf,inf,0,inf,inf,inf,inf,inf,inf,0,inf
HNF1A,inf,3.361187525334592,0,inf,0,inf,0,inf,inf,9.804131021183313,,1.948639578081445,inf,0,0,0,inf,inf,0,0,inf,4.314363821176162,inf,inf,inf,0,0.4309204872385862,inf,9.278062209515728,inf,inf,0,10.541096615349524,inf,0,0,0,0,0,0,0,inf,inf,inf,inf,0,0
HPD,-0.3617695016800043,7.686127325827873,0.5418675215143293,inf,inf,-1.0293100084619222,-0.27474140944291725,0.165596697701713,inf,8.129070821676594,,-0.7264206214252785,-0.7018000018185453,inf,inf,0.11872952346436855,6.942940959684912,2.2630344058337957,-0.5805912963167053,inf,9.778694596501937,-0.8905199066812792,0.6597385793835367,9.832240882526847,1.5418675215143287,inf,0.908070245102871,2.613416730226895,8.450998916563963,1.5840700199992905,6.202427641129649,inf,10.866036415842803,7.315221772336599,inf,inf,inf,1.9268924517267314,inf,inf,3.9062955471196252,inf,inf,0.01428737442675347,-1.7505124279361821,inf,inf
MAOA,-0.9347314758539784,-2.009946598457531,0.2588495340008796,0.26387659277575937,-2.3469358665370272,-0.1816964251731115,-2.1629404007360007,1.4321559209518269,-1.0761445862618095,inf,inf,0.03096317188198898,0.31772209468261836,-1.2546654822569436,-1.309628004788852,-0.5678356066590641,-6.24016591256183,-2.0990957737916998,-2.4496814646620826,-6.990187659553483,1.0719126935556917,-0.931863746209893,-0.1050537981337252,-0.25878159072917123,0.4909390301831365,-1.9453060608726367,0.03834508636963502,0.16968298848341867,1.584999990836247,-0.7300849448628439,-0.329627539938162,0.9929304152695672,inf,-1.4298271320654083,1.3428207443797497,0.06347103346804797,-2.669047061978732,0.7287380072123615,1.4192479413739634,1.1016802096877802,-2.3362530167531994,-3.7268744393871907,0.4315044343184127,0.06283727265088176,0.06612070061638993,1.784219134942388,-0.4666257034964653
MAOB,0.46930345201216905,0.8914609335329423,-0.7273904612634704,2.9616272845022853,1.0400272879073365,-0.5762530675124552,-0.4484706415210458,-2.5035388125093565,-1.2360585016443681,2.290010310023211,,1.527276007841196,-0.7484415370639343,inf,-1.0004245382787555,0.39080004443577027,-0.8329303630911985,-1.1837133206507444,-0.7054109279138904,inf,3.6613495605621997,0.38807705614101234,0.9987360336334804,1.3410990366838484,3.002010390638305,1.7249638944317849,0.6131387757373947,1.3609405511173644,2.6119384049105756,-0.16034536067970068,1.3931098352603937,3.2791505637788214,4.61193840491058,0.517976798767923,2.8575927688771325,0.0163281920276553,-3.0431712260327646,1.849378534907906,1.4071428942992847,2.1022649853656183,-1.710377180807236,inf,0.49772283605455514,2.0407378054339116,1.1752986511465193,-2.4452846650811977,1.3015706724972098
