,fold-change Series1,fold-change Series2,fold-change Series5,fold-change Series6,fold-change Series7,fold-change Series9 NHBE_IFNB_4h,fold-change Series9 NHBE_IFNB_6h,fold-change Series9 NHBE_IFNB_12h,fold-change Series15,fold-change Series16 A549-ACE2_SARS-CoV-2,fold-change Series16 A549-ACE2_SARS-CoV-2_Rux
AKR1B1,0.2689434045649486,0.3108452015557067,0.5910472247488618,-0.7583429865191513,0.6141688394234734,0.23914356562257397,0.27497965135198266,0.20499741546065228,0.8570846529761845,-0.7186961674661264,-1.129782216201279
ALDH4A1,-0.12362532649908643,0.0007811316222724756,-1.4093507251354704,-0.5190193210802792,-0.35592488638260317,0.3551658501005577,0.06863136729512913,-0.21241764213129588,inf,-0.8143621643704947,-1.0875751725970306
CBR1,-0.3864294231560382,0.0442745043543764,-0.8064474436440098,-0.022298213105205526,-0.2065528402421499,-0.2240314730253364,-0.3819180285904678,-0.42909303775917207,-5.143270986176343,0.4375046337534069,-0.16190153793685919
COMT,-0.0032749726779110963,0.07451967576238445,0.3723325730250857,-0.2795391647789153,-0.16504450790299235,-0.06806399609034676,-0.22042039381524556,-0.23335022994871374,-1.7866554349879584,0.21298124228457715,0.10858875976659879
DBH,0,0,0,0,0,0,0,0,inf,2.380580828890831,inf
DDC,0,-0.10961896069601254,-4.2554337004396485,-1.0547695717128254,-2.052582075210395,0,0,0,inf,-2.842276703018137,-2.901410617967587
DHFR,-0.2201960217840593,0.1485819716041964,-1.1607764075899116,-0.7190909787438418,-0.45042015216482456,0.3047108934951441,0.22513501493948002,-0.3671397098635975,inf,-0.5550381841896534,-0.1953734861834718
DYRK1B,-0.08782461950914427,-0.2026751720289903,-0.23559957200664386,0.14586463423030102,0.07540812016790405,-0.07021546205628862,-0.43140163562730816,-0.4817863217771907,0.3054167907912921,0.18855631655418223,0.24968596553681666
FAH,0.07482827884325005,0.1391178006985926,0.24291670734130627,0.08459997324318719,-0.22728531852758269,0.08583235062154528,0.07127021150301657,-0.2880218109424337,0.11549711151376352,-0.4360038685934609,0.09294066979029399
FPGS,0.09295722114927372,-0.06625103622078078,0.030466425924447597,0.19983251479631042,0.05548761223600265,0.10869006292263023,0.04514014980862628,0.049207502441036756,-3.052861119233538,0.8413609617909668,0.7556189111282399
GART,0.09046341175662607,0.21868503074864526,0.8322642189399999,0.17525117651904032,0.7200299738822964,0.3007392776514977,0.37188391054938275,0.19901789441048467,-2.0423153694236746,0.9829687234096667,1.0913229127710544
GGH,-0.09204009556803949,0.27839238971646635,0.16270561270375855,0.08646907414513517,-0.1174532662304342,0.20018350112407385,0.4388839192800183,0.10183707895724489,0.1533712464189165,-0.29775571742544504,-0.36854305374105256
GLUD1,0.032207459578441656,0.08993469673251725,0.49416694550099777,-0.1329657448070643,0.4297366708763689,0.2929758054785541,0.5543873404143757,0.40152974785724516,-0.7638096937701137,0.6821699532034099,0.8768873141008352
GLUD2,-0.6109135190361413,0.33263311903475806,0.17877870896659184,-0.1386427386402714,0.4572852714147998,0.29423690196992675,0.11148323648352369,0.3489135863819073,inf,0.8713203526313299,0.6457911025272202
GOT1,0.09795279176840611,-0.0014935299640953838,0.894000782173747,-0.06150390409820482,0.5647109512279033,0.18480158881388162,0.23359279943855404,0.06118300017446489,-1.1032656648112038,-0.5248599045081794,0.252417136770523
GPT,0.5998605852349264,-0.2913934616164242,-0.2187703255212419,0.42547192085048785,2.200484760981062,-0.10743663386301253,-0.5234244001852639,-1.2600794056869815,inf,1.9558747705810062,2.672900930500948
GPT2,-0.003009185418031288,0.13888490300458642,1.503287711405933,-0.961458573815742,1.625834136495111,0.12435385282293404,0.133530049203932,0.18841470748007738,-2.2430797558036346,0.8228874323021386,1.0238374997318704
GSTZ1,-0.11444866350004436,-0.20087437179514742,0.5074269755492974,0.15114767382892774,0.04415285720953611,0.0873643330484725,-0.13716467029743215,-0.1647285094589178,-1.5963700103654002,-0.48700261823513863,-0.00322010211281153
HGD,0.5839642204751455,0.17577266627236596,-0.9930667807724587,0.40374262313637427,0.07759982783640818,3.2954977171540007,3.5543351461556987,3.031771790237774,3.46837337300789,-0.522162628744788,-0.6166783818455674
HNF1A,inf,0.025093382019845494,-1.2372301821118916,0.26411143345473975,0.6568249040542655,0.09160888434669016,-0.8120026213901543,0.15958411727944233,-1.1013106742410763,1.0098641472955328,1.1775424166773387
HPD,0,-0.20800092944287715,-0.5298074443498783,-1.2275811407473658,-0.022262943733865184,inf,inf,inf,2.156719959303777,0.9052856772956327,-0.04229485650130007
MAOA,0.2502366066969179,0.22743778156278013,0.635073525624905,-0.13707775071040554,0.5604819347110832,0.5609699503333025,0.9433730740872701,0.4574774252976882,-0.9764948140206358,-0.019891292646394262,0.5111347475196742
MAOB,-1.2772246988389295,2.0657715381912634,-0.8610008201529415,0,-1.1163199414620295,-0.21380808993031006,-0.37492275494241123,-0.01527611424115746,0.8651504794639258,inf,inf
MDH1,-0.2014754234002735,0.12304800094980452,0.10719517611357372,-0.6249266251443011,-0.39654969731240786,-0.06910367913183621,0.048665622037729776,-0.08272840975302923,-1.9070155585243185,-0.47353743727356584,-0.13471641458857492
