,fold-change control mujer case1 lung,fold-change control mujer case1 heart,fold-change control hombre case2 lung,fold-change control hombre case2 jejunum,fold-change control hombre case2 heart,fold-change control hombre case3 lung,fold-change control hombre case3 heart,fold-change control mujer case4 lung,fold-change control mujer case4 heart,fold-change control mujer case4 liver,fold-change control mujer case4 kidney,fold-change control mujer case4 bowel,fold-change control hombre case5 lung,fold-change control hombre case5 fat,fold-change control hombre case5 skin,fold-change control hombre case5 bowel,fold-change control hombre case5 liver,fold-change control hombre case5 kidney,fold-change control hombre case5 heart,fold-change control hombre case5 marrow,fold-change control hombre case6 lung,fold-change control mujer case7 lung,fold-change control hombre case8 lung,fold-change control hombre case8 liver,fold-change control hombre case8 bowel,fold-change control hombre case8 heart,fold-change control mujer case9 lung,fold-change control mujer case10 lung,fold-change control mujer case10 liver,fold-change control hombre case11 lung,fold-change control hombre case11 kidney,fold-change control hombre case11 bowel,fold-change control mujer case12 liver,fold-change control hombre caseA lung,fold-change control hombre caseB lung,fold-change control hombre caseC lung,fold-change control hombre caseF lung,fold-change control hombre caseE lung,fold-change control hombre caseG lung,fold-change control hombre caseH lung,fold-change control hombre caseI lung,fold-change control mujer caseD lung,fold-change control mujer caseJ lung,fold-change control mujer caseP1 placenta,fold-change control mujer caseP2 placenta,fold-change control hombre caseP3 placenta,fold-change control hombre caseP4 placenta
IL1B,-4.378974118954911,-2.7760424666463566,-1.3677025644589107,-2.127853111279224,inf,1.074321493667821,inf,-3.296573094772516,inf,inf,inf,inf,-2.1161421957999353,inf,-3.098950073663275,-3.6895781442384883,-1.9314558984757164,inf,inf,-1.6814776454673748,5.542707384261896,2.480893931280498,0.23616158030055914,inf,inf,inf,-4.112707214307043,-0.8713749252891045,3.140832217534779,-0.10314387657038365,2.394119973426792,-0.7262655672142099,inf,7.18100249582789,2.474337756559502,5.031144129719083,7.085116793188216,-0.8814152159761253,-1.4569173874482062,0.3714712344815909,1.513025378695614,-1.6185011896598762,-2.5848180634035884,1.2191100610138295,0.27308848146106823,0.9122445647156421,1.3729701385550084
IL1RN,-1.3245908118714662,0.011634450431334722,0.36774138141152923,inf,inf,0.8145583321051477,inf,-1.2458617718610319,inf,inf,,-3.722841591709175,0.5820581166963902,inf,1.4825564445547683,-2.771036638742873,-1.5978768937012628,inf,inf,-2.3478986406929154,3.399540045439002,2.097078449339325,2.6884007215116337,5.898080600961152,-1.932861141414069,inf,-1.512408211027796,-1.6863679881904843,3.869615445558905,1.4325343639441068,2.464664572367452,inf,6.454577946280062,5.0749583630452255,-0.06655235658218055,3.1947981330512323,5.6926134910333035,1.0371262895194873,1.0465866187685589,0.7050502392560476,0.8466043834700729,0.16917572741781445,0.46589325950789645,1.5664606014072016,-1.2822059251635292,-0.621942869263324,-1.2409834367764017
IL32,1.6956051552833782,0.12142180638969224,1.8819452363600238,-1.5980297015644913,-1.9346671974382859,1.9521561697001624,-1.1126530760450626,1.3734806821604577,-2.716591011592634,3.1314058949623145,,-3.4610511423057675,1.2185224734936562,-0.8084494812348665,-1.9170499673688508,-1.323253466806641,1.3759750899025667,-0.5008766793245679,-0.24016572166033529,-2.9590091578102435,4.1355600519153715,0.8614621238063287,1.453915349684005,4.052504830206798,-1.2220435636440397,-0.6510931532956074,-1.4255412637107074,1.3544555675199075,3.0058750128784535,1.516186285495751,1.8535540552501248,inf,5.938760817019921,0.46384784592789524,2.5447295476369383,3.969118653127422,0.1922064383221922,-3.158946728318998,0.7249827188462123,2.7663650641102127,0.23549386635273875,-3.8909619180661426,0.1724685515842007,-4.412309493224762,-2.8680529691418375,-0.5820016952017268,-1.074486375230183
IL6,-1.973266419573661,inf,-2.7158804622643338,-3.014592538106032,inf,-2.2822909417113384,-2.232822909806374,-4.077515828552474,inf,2.3009957947012523,,inf,-2.049471909623641,inf,1.5688993511875597,0.33057302454322407,-1.5958029039660762,-4.01697518941702,-1.401169272930225,inf,3.1261002240678963,2.74896293036295,-0.6746824944522122,inf,inf,inf,-2.6024839079279545,0.4854547357697393,1.037961388867465,-0.04894046444174721,-0.0775819541211703,inf,inf,0.5327118365565997,-1.4567957896257582,4.366797124228729,3.365152891770719,-2.353117143524088,-1.928619314996176,0.7071242289912342,0.211248452589962,-0.07751582855246929,-2.9507232979047036,-1.441360641900546,-1.483728268570082,-2.6964408559229747,-0.7661564499060894
IL6R,-1.3771475259697308,-1.5573895461917266,0.4858078310467766,-0.5537928530826327,-1.454331234149753,0.5954004990883254,-1.8960119420584327,-2.14503437017642,-5.006837076256402,-0.1588401697014581,inf,-1.8444066113610122,0.21665470678840704,0.5406419487754158,-0.12049956038734762,-0.9935273616632883,-2.6375035594718623,-2.0586758449228095,-1.4760367923712114,-0.15048610916266633,3.6408151813793346,-0.6372205153629257,0.16531897873061482,0.8166337594959197,-1.1948802285211244,-2.149998629840271,-1.2514970452794467,-1.2319984882217923,0.16308792518590653,0.15590223442960355,1.1031098117094897,-0.4323132282103579,inf,-0.7720232247829811,2.071359163199404,1.3112906691979125,-1.2551687375823959,-1.224892797587564,0.9838763398849137,1.6654235734854448,-0.4154147036369803,-3.859279887842541,-1.2406342608650973,-2.534182676058957,-2.437139433999268,-0.38551511423863494,-1.4690551919601176
IL7,1.8229778733416226,inf,1.4477785838009762,0.06811561677117246,inf,1.7232852367413989,inf,inf,inf,inf,,inf,1.1907001363698948,inf,2.266943655829435,-0.4936094161880916,inf,0.6506954661813386,-1.1929302359691654,0.5144910825830219,6.341160237411866,2.3426100862085115,2.936614078183069,2.4385422293497268,2.514491082583025,inf,0.23331523264934909,2.3322155977719854,4.033940001843531,2.510729372166318,3.0051262007560315,3.2770580828937903,inf,inf,1.2108748659726007,4.735259761439812,1.906714778219255,3.63648160696164,2.739051340602183,3.1524024632531407,inf,inf,1.045255315071365,-1.2328465388513676,-1.652560525339683,1.2285335324691125,-0.18594863555806806
ITGB2,0.6853327870260206,-1.4213254245022582,1.7787026189146808,-1.1285828892753493,-5.687612806485591,1.2616179250150223,-2.846739657841047,2.3898752172893034,-1.53749988608556,inf,,-1.2709371773642457,0.6564287859770637,inf,-2.1521472715535337,-1.703246977942111,-1.6951464791709903,-3.7683954612016284,-2.4690632095100913,0.12514749859410598,2.7112826900832943,0.16332704532782616,-0.18305821263598848,-3.5655111987544004,-6.074524846242257,inf,-0.15835045492718655,0.9870993945890327,2.29915204687538,0.2970633593908436,0.001072772651904069,-2.074918648630644,inf,-1.3011705954199841,1.1726057225305642,-0.38615061730247524,-0.36315014038923504,-1.8821449939722488,0.7349979124980609,0.42136752955543216,-0.6512031315833934,-2.7232157661530723,1.3029336874178075,0.018568016576225577,-0.3072557446945084,-0.2682774832099067,-1.5317905809103978
STAT6,-0.08393758026962474,-0.7192404039691241,0.49614409235168994,0.031087395758414238,-2.0769257250674196,0.12516281907847734,-2.09403357155045,-0.8657961894383243,-1.9608688756479429,inf,inf,-1.1098735747938262,0.3618681840501533,-4.001334081933968,-0.9400095666256413,-0.7212024047021992,-3.231947010075378,-2.3152496567699417,-0.9827981304965305,-0.9039662450657607,2.804849333832028,-0.7451117907828418,-0.1948436653047964,-0.7684109931053487,-0.6075732422855363,-2.1810127412722777,-1.1003345348695284,0.0815667749856128,0.7204279598467435,0.06681097301786873,0.6241435785259046,0.6170995109608549,0.8459588419306038,-2.4660023489374114,2.016165239272274,-0.6457228607903127,-1.367352640094356,0.1076002896191967,1.0268628098966877,1.2890724067847477,-1.0994097392187911,-3.1764089710978443,-0.10563652610634353,-0.5235975847461058,-1.4748842124627541,0.23445674774321246,-1.468629184176385
TGFB1,-0.5406471856543774,-3.6115720091520136,0.6731591033222933,-1.0454994236978106,-2.588587797039031,0.3519894459676158,-1.7990615283947098,3.019336793318956,-2.050773642270083,1.9833745801417628,inf,-1.1828177024242197,0.44886431664425147,inf,-0.6660991389977273,-0.8067559201847131,-2.1121366167281024,-0.8152213182185287,-1.3554548769190948,0.31416440892071,2.197984912678095,-0.6693685074589677,-0.6014450786435644,-2.9970009060066194,-1.0465829348571798,-1.7830610497009967,-1.5262655203058226,-1.0239572633885872,0.9833745801417628,-0.6242255844906425,-0.20802451326386734,-1.6439118796327972,3.5683370808629187,-0.40508564464369706,1.4849899787867247,-0.11532087319538192,-0.37960234836261186,0.02196833055996544,1.1363982194105837,1.1835589469981318,-0.726549028610341,-4.03899323288669,0.9719698168695106,-0.09461906368218385,0.08502329819492088,1.1263967247673632,-0.8935713163512148
TGFB2,1.1850889109372609,inf,0.5150915693922161,0.06766188720836123,inf,-0.5565983703554168,-2.5656059837708276,5.549784319945469,1.968203325974573,inf,,-1.3149256531857807,-0.7133282248210713,inf,-2.318472574454534,-1.2461356323073158,-3.735940899988131,-3.349758263381472,-0.6084214648108245,inf,5.37751226148258,1.2299873398690833,0.68523689951567,-1.5619115002130837,-0.26357022564333926,0.23699085681369483,0.7790376978399981,0.6422739277929006,2.3706407884737817,0.2376207260916133,-0.9953275288067794,1.3761400268818944,inf,inf,2.669852755047089,0.3197685325981501,-1.9868237474270425,-1.6859002174885394,0.8260604522897107,0.47387682857768926,-2.2914596228168036,-1.0667645238335188,-0.29611580341102234,2.5419685011524797,2.6932431908143326,3.7031948073097465,1.6337765972943081
