,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 liver,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
DUOX1,-0.7812986977284999,inf,-0.058419399097154254,-6.101628584490333,-5.438266080364131,-0.24955202365332704,inf,2.3881508570884047,inf,inf,,-6.5537150114891425,2.2321929305689383,inf,-0.6073350654669709,-4.104853731650703,inf,-4.54551135000243,-2.9297054335156365,-2.6817157336007442
ADAR,0.9173142411317361,-0.5711273165188893,0.3138688581148664,-0.1426066395814767,-2.073084787522883,-0.6872149806526829,-1.9313357690303534,-0.7385282775959069,-2.636095208099908,-0.20550670528655565,inf,-1.5044920937164963,-0.23817804175489468,-2.895728489321214,-1.4525333386692465,-1.0375803769811616,-4.048338905461356,-1.5702337794136574,-1.241956830681408,-1.0690082423966796
ANXA1,1.7372082979273853,-1.2893524055004821,0.6069151888158917,-1.1999462798845764,-3.5890511956525057,-0.06315585305392046,-4.370559222776631,0.15615965376830765,-2.4171681464694443,-1.8662081592601538,inf,-2.1942225963016284,-0.22268727514535447,-0.5763448307916194,-0.6701178992479636,-1.932341779405236,-4.628959456955037,-3.242776820348381,-1.4759049296705868,-0.900933907142049
ANXA2,0.005238463089404961,-0.9758735004489402,0.8083037536041426,-1.3266672589968476,-2.742531446021219,0.23142072404523442,-1.8926022086761174,-0.862651030737198,-2.26698277327236,inf,,-2.201554715182365,0.30825813112588685,-2.6298900106107235,-0.4813884211206137,-1.885672652855322,-2.661194130528729,-2.4218528822513425,-0.7554208926945817,-3.9730947651285002
BST2,2.842587533223207,1.4984802746744912,1.3816295400873517,1.6816215355606143,-2.027570128270506,0.4837669353133871,-1.2733465304010827,0.601703205291438,-1.7556661239944513,-0.008469858227001179,,-1.2129096101499406,0.5681191070377546,-2.3791529635803155,-1.1398301462939913,-0.41887206620330353,-1.972335971106435,-1.4866176609488626,-2.107850941762919,-1.8292729220146007
CREBBP,0.11558034459383287,-0.31003530315036965,1.7100471226424732,1.8309689539973546,0.28055216709182207,-0.7859027742869199,-1.5764474402793056,1.526359263826854,-0.6279591858537431,1.5091225589015536,inf,0.025189978411640626,0.7850085778269043,0.01818253396506928,0.05501248735264698,0.19937236150319632,-1.9229237769813567,-0.9664254156179456,-0.1768334484400715,-0.43193742446922023
DDX58,2.0979055145960865,-0.6916226087054487,0.7015894998700101,-0.07795575550596005,-4.221948173437359,0.7204218822390396,-2.688848740600645,-1.292463882696434,-4.668839761606176,inf,,-1.2333908023043705,1.487207193135791,1.6208470364196952,-0.5548676455728341,-1.0783815202895093,-1.7796908931640312,-2.393508256557377,-0.42977903665027084,-1.2077845452683216
DUOX2,-0.15691235649030422,inf,inf,inf,0,-0.03479190878048421,-0.19699564427096783,4.199389213633234,inf,3.8636553192208387,inf,-3.4068736231598784,2.326758079372642,inf,-1.7772600669092793,2.880039375959094,-0.6097658917217208,inf,inf,inf
EEF1G,0,0,0,0,0,0,0,0,0,0,,0,inf,0,0,0,0,0,0,0
FADD,0.8955589263734726,1.0188707740995657,-0.14350536800716343,-2.3828103370343845,-2.719447832908183,0.5198907323825963,inf,-0.02942947686264205,1.8381202271137107,3.7641196456699255,,-0.9214467959896312,1.6917790289166665,inf,-0.45533197202192155,0.4394667845731048,-1.6097658917217252,-0.22358325511506974,-0.4822464565444173,1.4475672833442255
GBP1,4.350449169802688,0.5265575613440837,-0.7364341387897693,-2.5048008614129977,-6.928901198537131,0.3800276421428775,-1.7894526815390475,0.01832365458572545,-1.6175592566624806,inf,inf,-0.685248575128152,1.6397506015277006,inf,-0.9512894666843332,-0.2574641477908485,-1.2618425883014206,-2.098052373031207,-1.0030786198458572,-2.0118643352930725
GBP2,3.536780151964241,1.606177215289019,-0.2061995388369968,0.2870410612732883,-4.478439733404386,-0.3856572901673804,-1.840015246581896,1.7210319597877843,-1.1314684599901954,2.200690306498411,inf,1.4693201752257323,1.0207145942205207,-0.05357709167780606,0.0011082262674844362,0.35069892736685315,-1.1856261853356305,0.011794807815861383,-2.013437700824592,-1.756677791281966
GBP6,2.1606446491368687,inf,inf,0,0,inf,0,0,0,0,,0,inf,0,0,0,0,inf,0,0
IFI35,1.8711986798036488,-1.6091604485134787,2.668805375559214,0.2021521636867694,1.1874427627003343,0.8258572884308125,inf,-0.5920241645553452,-3.7619491659976583,2.086047740557286,,-1.3771262797658252,1.8208801195765414,inf,-0.19229756618812566,0.4394667845731069,inf,-1.808545755836222,-0.06720895726557001,-0.9447501394345352
IFI44,0.9861047480308285,-0.7696251207067234,0.2914324467233678,-2.212885335592072,-4.1344853321870225,2.530932880402968,-0.4193880656074128,-3.053276218817012,-2.289562325825202,inf,,-3.945293537944002,1.9825422158798705,inf,-0.38494264413053175,-0.5099071423569289,-2.6097658917217355,-0.6386207543939134,0.14224440836337462,0.447567283344216
IFI44L,2.5280846310196465,-0.9811292259004357,0.062460250269788506,-2.634349104030349,inf,0.6475453413931104,-3.1604697682458522,-1.1591973518329761,-4.263633271687024,inf,inf,-5.039141838659382,0.6305782319117251,inf,-1.8767957404601967,-2.1873158918426783,-5.516656487330242,-1.2235832551150676,-2.219212050710618,-2.4593233122642917
IFI6,3.00970790952482,1.4426784830061408,-0.9777526117565581,-2.5450817659332645,-5.104111683143504,2.0052989393200598,-0.7819581449921331,-0.7875408799003984,-1.2193032094745215,inf,,-4.143839217326079,0.17541648795869813,-0.23476305424513907,-2.324747862211777,-3.393423229591633,-3.6353009838288646,-3.249118347222205,-1.5963182232532092,-3.3853227308205165
IFIH1,2.8293782300809265,1.2559099714004107,0.4663630156506516,-1.3384162176759342,-3.549522831465868,0.6137545987636068,-1.9194616687420558,-2.2790433669341117,inf,inf,,-3.5336307654458112,0.7385801798564453,inf,-1.3077747836080569,-1.023933736267136,-1.988277514975453,-2.9240229732561596,-1.1237924856319386,-0.7382992619671112
