AKR1B1
ALDH4A1
CBR1
COMT
DBH
DDC
DHFR
DYRK1B
FAH
FPGS
GART
GGH
GLUD1
GLUD2
GOT1
GPT
GPT2
GSTZ1
HGD
HNF1A
HPD
MAOA
MAOB
MDH1
MTHFD1
MTHFD1L
PAH
PCBD1
PCBD2
PTS
QDPR
SHMT1
SHMT2
SORD
SPR
TAT
TH
TPH1
TPH2
TYMS
UAP1L1
ADSS
ADSSL1
ALPI
ALPL
ALPP
ALPPL2
AMPD1
ATIC
ENPP1
ENTPD5
ENTPD6
GCH1
GCHFR
GMPR
GMPR2
GMPS
GPHN
GUK1
IBSP
IMPDH1
IMPDH2
ITPA
MOCS1
MOCS2
NME7
NUDT16
SUOX
THY1
TPMT
TYR
