,"fold-change edad [0,12] - SC2","fold-change edad [13,19] - SC2","fold-change edad [20,99] - SC2",fold-change mujeres - SC2,fold-change hombres - SC2,"fold-change mujeres en edad [0,12] - SC2","fold-change mujeres en edad [13,19] - SC2","fold-change mujeres en edad [20,99] - SC2","fold-change hombres en edad [0,12] - SC2","fold-change hombres en edad [13,19] - SC2","fold-change hombres en edad [20,99] - SC2"
DUOX1,-0.2134822248989797,-0.9327264023669486,0.15758011993164941,-0.0485921761001647,-0.22259256907572514,0.38078696344975554,-1.2961914979566487,0.11763632586525119,-0.8267900640106568,-0.6996472076560482,0.2036495434797389
ADAR,0.4047018785355688,1.5415985868314133,0.8580735626697632,1.0369181574935744,0.5972181965063635,1.5374205965202585,1.8294267032523934,0.6668342244393825,-0.8577328737600529,1.4423198824510193,1.091483704003934
ANXA1,-2.822424156625539,-0.741587578137951,-0.26377242299855685,-0.5342586543671852,-1.9228289787454032,-1.0200932614635663,-0.4963222988950782,-0.3007011700462938,-3.958518195358712,-0.8540043904026209,-0.22035406459001083
ANXA2,-1.8727107919209993,-0.7280756692275506,-6.0645639206845345e-05,-0.20543049701311517,-1.172785352619173,-0.6092612027602574,-0.42339455155903466,0.007180374544329162,-2.863073548678299,-0.8745063280697764,-0.017454072780815552
BST2,2.0082056875393897,3.7207397169582346,2.903852138474937,2.99316332746312,2.4629986882006283,2.7649677368107266,4.243716133708621,2.9124893137911725,1.1357834273459597,3.440896053497037,2.9039752265269265
CREBBP,-0.5630000997433109,-0.24450821614792106,-0.18348566999259522,0.10475028288134619,-0.7361447837836697,0.7012605308154007,0.9623368854404268,-0.1925774811653615,-1.8328831781552763,-0.8135815406379997,-0.16858131039243618
DDX58,-0.12790169549097222,3.2656680614680385,2.474176655399837,2.6815172724947027,0.5391301355454121,3.315981586234388,3.8736987176142264,1.9297740380118826,-2.7669292776022525,2.9052464568588663,3.0483128897319043
DUOX2,0.9547389822263153,2.2375959795304854,0.6642990854503552,0.8039640412034769,0.7001382060599526,1.905190519393485,1.970176111514237,0.4095863165682592,-0.05226909480893034,2.5652358458994833,0.9396165974776645
EEF1G,0.001091360486818286,-0.8328569874738111,-0.29041015465397463,-0.2299682446935975,-0.01199580556202892,-0.2016629926300796,-0.3432231559191312,-0.3047113481366161,0.20614877797327977,-1.084745592580147,-0.2759700425326775
FADD,0.0791060877510081,-0.12582768211006068,0.28681984258869564,0.47935354265414576,-0.20076018613712746,0.9019893313276188,2.0361611116281337,0.18130477361616779,-0.8263433657905809,-2.0993801477236254,0.41938989938959603
