,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2,Promedio Control 7,Promedio 7a72,Promedio 7b72,fold-change Control7 7a72,fold-change Control7 7b72
ABCG1,0.0034264411608294484,0.0020535277156702152,0.0018052666691083794,0.005555065691261674,0.002577408158378273,0.002456241287069907,0.002739984438249832,0.003680166180185027,0.0025168247227240897,0.4256032141239284,-0.12256295191474262
ABCG2,0.03741673748669511,0.03058532339532365,0.02637259134033964,0.014372630277203799,0.057355922899707514,0.04144630567758965,0.03400103044100938,0.02037261080877172,0.04940111428864858,-0.7389475919089855,0.5389651139353215
ABCG4,0.0,0.0,0.0024331855105992222,0.0,0.0,0.0,0.0,0.0012165927552996111,0.0,inf,0
ABCG5,0.0001370576464525067,0.0006935755862335732,0.0004513166673482122,0.0,0.00037801986320764414,0.00042043769764642236,0.00041531661634303997,0.0002256583336741061,0.0003992287804270333,-0.8800715345195894,-0.056995865099419445
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0001548980991633405,0.0,0.0,7.744904958167025e-05,0,inf
ABHD10,0.023710972843377316,0.01691780449055943,0.0417566029581454,0.03650471739534477,0.04024193270940452,0.02712929564391642,0.020314388666968372,0.03913066017674509,0.033685614176660474,0.9457975009378857,0.7296306543220972
ABHD11-AS1,0.000438584468702142,0.00036718707502689626,0.000510184058729089,0.0006172295211945867,0.0006873088423400523,0.0010400300943887864,0.0004028857718645191,0.0005637067899618379,0.0008636694683644194,0.48457408832911397,1.10010843291062
ABHD11,0.005893478797399801,0.006065386498580492,0.011381029002199316,0.012168239130080276,0.010206536306606392,0.007678520059358398,0.005979432647990147,0.011774634066139796,0.008942528182982395,0.9776017167710287,0.5806741576224778
ABHD12B,5.482305857327117e-05,0.0,0.0,0.0,0.0,0.0,2.7411529286635586e-05,0.0,0.0,inf,inf
ABHD12,0.032921246673172026,0.03274764728247096,0.04156037830408922,0.03862093290577045,0.07000240556955094,0.04452213935873185,0.032834446977821494,0.04009065560492983,0.057262272464141395,0.2880558536596761,0.8023747685979553
ABHD13,0.009594035250322456,0.004596638198150446,0.010537263058030362,0.004937836168025511,0.013333791539174245,0.008275984155311193,0.007095336724236451,0.007737549613027936,0.01080488784724272,0.12500560283087953,0.6067410401920152
ABHD14A,0.012198130532939413,0.0037806669201337537,0.00608296377507571,0.009170267171013071,0.013711811402381889,0.01334336482741282,0.007989398726536583,0.00762661547304439,0.013527588114897356,-0.06704396934717376,0.7597458019691552
ABHD14B,0.010526027247305107,0.010158842408486286,0.022036026841284615,0.014284454632850042,0.019519571118647022,0.011595229138018505,0.010342434827895697,0.01816024073706733,0.015557400128332764,0.8122074609482614,0.5890251182239573
ABHD15,0.0030152682226896404,0.0016455420774680212,0.004395431889582492,0.00599594392068638,0.0036083714226821974,0.0024783695874144663,0.0023304051500788307,0.005195687905134435,0.003043370505048332,1.1567339786254187,0.38508918578902
ABHD16A,0.04281680875252852,0.030286133930210853,0.06214434284474804,0.03950268934930803,0.07117083062264533,0.06554402424105298,0.036551471341369685,0.05082351609702804,0.06835742743184915,0.4755667065375033,0.9031686220194621
ABHD17A,0.0077300512602229065,0.00810531469281607,0.016993053647365888,0.011462833965042326,0.022474999141820634,0.010621583942883355,0.007917682976519489,0.014227943806204107,0.016548291542351996,0.8455769733185577,1.063532071608713
ABHD17B,0.008415339492388797,0.0037398683574421474,0.011930457988041543,0.012961819944575927,0.013505618751743872,0.012259078135004976,0.006077603924915472,0.012446138966308735,0.012882348443374424,1.034123696555434,1.0838210565929114
ABHD17C,0.04936816425675064,0.04887667953949528,0.061771516021954145,0.06313376245974246,0.07316402625288873,0.04264123387394533,0.049122421898122964,0.062452639240848304,0.05790263006341703,0.34638084913018347,0.2372471879437586
ABHD18,0.0030152682226896404,0.000897568405657131,0.001883756524188059,0.002028039855098445,0.0021306574110953927,0.0026332676853762795,0.001956418314173386,0.001955898189643252,0.002381962548235836,-0.00038359937594917195,0.28393585476085764
ABHD1,0.0,0.0,0.0,0.0,0.0,0.0008630036954148987,0.0,0.0,0.00043150184770744936,0,inf
ABHD2,0.038348729483677756,0.031074906163745968,0.060456810956410124,0.04549863328275427,0.06319804803816412,0.03513974021289331,0.03471181782371186,0.052977722119582196,0.04916889412552872,0.6099588938926186,0.5023189877108443
ABHD3,0.007976755023106791,0.007194146766369224,0.009006710881558626,0.010404726214933428,0.015567545277176338,0.010643712243227913,0.007585450894738008,0.009705718548246027,0.013105628760202125,0.35560008487659,0.7888797256835841
ABHD4,0.05178037883490235,0.028151009079483598,0.048585220367430126,0.0251300590746562,0.049383140315226295,0.03602487220442517,0.039965693957192974,0.03685763972104317,0.04270400625982573,-0.11679845311687433,0.09560928191955434
ABHD5,0.007757462789432228,0.0070989501179390705,0.01130253914626623,0.015166211091699452,0.012337193717701785,0.009714323648781883,0.0074282064536856495,0.01323437511898284,0.011025758683241835,0.8332042593490191,0.5697921130808489
ABHD6,0.006112771031074367,0.004025458304344913,0.00608296377507571,0.007406754253314252,0.008385167876231099,0.0064172069664191304,0.005069114667709641,0.006744859014194981,0.007401187421325115,0.4120544879660753,0.546022951101803
ABHD8,0.002960445162338123,0.0006935755862335732,0.0015894195672836748,0.002557093729642499,0.0026117736005746603,0.0016817507910306996,0.001827010374285848,0.002073256648463087,0.00214676219580268,0.18241389271450167,0.23267756175666862
ABI1,0.011786957594799603,0.010485230919692962,0.012695734076277412,0.013402698174000633,0.017148355615669842,0.012303334733469045,0.011136094257246282,0.013049216125139023,0.014725845174569444,0.228719818276924,0.40310711091755075
ABI2,0.004468079274649381,0.0055758037317704765,0.010929712334851105,0.006877700379535789,0.010447094401663564,0.005642716469934913,0.005021941503209929,0.008903706357193446,0.008044905435799238,0.8261607897672777,0.6798302389787255
ABI3BP,0.0001918807050257779,0.0,0.0,0.0,0.0,0.0,9.594035251288895e-05,0.0,0.0,inf,inf
ABL1,0.01203366135768349,0.007656530490309965,0.025666182642631243,0.04347059342178629,0.026530121310198017,0.01385231572643748,0.009845095923996728,0.03456838803220877,0.020191218518317747,1.8119761625100625,1.036250810431802
ABL2,0.0017543378744219926,0.0011423597889009083,0.001471684784521921,0.0028216206678077166,0.003161620674446702,0.001858777190004587,0.0014483488316614506,0.002146652726164819,0.0025101989322256447,0.5676797044643278,0.7933925874613411
ABLIM1,0.04289904332855922,0.03221726595135703,0.04970370077891797,0.056520589005612035,0.049417505753294684,0.03748534000491557,0.037558154639958125,0.053112144892265,0.043451422879105125,0.49991561250098204,0.21027724071704448
ABLIM2,0.0,2.719904259518206e-05,0.0023743181192183455,8.817564588494096e-05,3.436544210112569e-05,0.001836648890105038,1.359952129759103e-05,0.0012312468825516432,0.0009355071661030818,6.500420391942568,6.104120930039521
ABLIM3,0.0001644691757391423,0.0,7.848985516502015e-05,0.0001763512917443622,0.0,0.00030979619837118204,8.223458786957115e-05,0.00012742057345469117,0.00015489809918559102,0.6317810111695951,0.9135022161352897
ABO,0.0,1.3599521289529509e-05,0.000510184058729089,8.817564588494096e-05,3.436544210112569e-05,2.2128299877298573e-05,6.799760644764754e-06,0.00029917985230701495,2.824687098921213e-05,5.459385249128042,2.054535194964585
ABRACL,0.020174885552180454,0.017257792518363835,0.02393940582917148,0.02116215500983386,0.037114677495888974,0.02077847358743117,0.018716339035272145,0.022550780419502668,0.028946575541660073,0.26887909438485375,0.6290944159717353
ABR,0.01277377264826802,0.009193276396300892,0.01540363407752199,0.021603033239258565,0.018007491665816448,0.012015666835664926,0.010983524522284457,0.018503333658390277,0.015011579250740686,0.7524441401650707,0.45073468203656497
ABT1,0.00367314492564621,0.0028558994722522706,0.010262548565109251,0.005378714397450216,0.005120450875512774,0.007191697460678299,0.0032645221989492405,0.007820631481279733,0.006156074168095537,1.2604132515472095,0.915138761383846
ABTB1,0.0032345604563642047,0.0017815372902020858,0.002923747106482916,0.0014989859800439965,0.0022337537373670158,0.00035405279817028013,0.002508048873283145,0.002211366543263456,0.0012939032677686479,-0.1816272838808793,-0.9548356961444608
ABTB2,0.0024670376365703533,0.002679105695214295,0.0024135630466159508,0.004056079709176101,0.006013952370078534,0.004027350578157851,0.0025730716658923245,0.003234821377896026,0.005020651474118193,0.3301944109414145,0.9643829388508842
ACAA1,0.01825607850752801,0.010947614643633705,0.02097641379756671,0.01534256238295894,0.02811093164869152,0.015180013718185373,0.014601846575580859,0.018159488090262826,0.021645472683438447,0.3145727076915317,0.5679144793433769
